rank,Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +,ratio_200_plus,ratio_50_plus,failed_criteria
1,9kgWz1zwCHtnhtQH2hxaccvSi5amKvfwFDHk7XK9cd1u,58.36%,"$20,930.69","$88,105.61",58.33%,?,['photon'],763.46,https://gmgn.ai/sol/address/9kgWz1zwCHtnhtQH2hxaccvSi5amKvfwFDHk7XK9cd1u,8,0.0,0.0,13.0,20.0,8.0,2.0,7.0,2.125,4.625,[]
2,D37KwuoeLJJqVkD9EPaLD4zfwAZdp7WnH6BoJ5BPJ8rb,72.05%,"$7,633.11","$193,769.37",100.00%,?,['trojan'],4087.93,https://gmgn.ai/sol/address/D37KwuoeLJJqVkD9EPaLD4zfwAZdp7WnH6BoJ5BPJ8rb,6,14.0,6.0,3.0,4.0,1.0,0.0,9.0,1.6666666666666667,2.3333333333333335,[]
3,EFZ4YMCQQT7dXv5Cq7Qxa9eTGqscsg1CKEzcqhrV8gsN,31.45%,"$3,446.21","$24,415.74",80.00%,?,['photon'],50.04,https://gmgn.ai/sol/address/EFZ4YMCQQT7dXv5Cq7Qxa9eTGqscsg1CKEzcqhrV8gsN,9,1.0,4.0,20.0,11.0,7.0,2.0,2.0,1.2222222222222223,2.4444444444444446,[]
4,5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY,219.80%,"$26,365.36","$347,242.45",44.00%,?,[],326.35,https://gmgn.ai/sol/address/5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY,28,0.0,0.0,2.0,14.0,11.0,4.0,19.0,1.2142857142857142,1.7142857142857142,[]
5,HetnuaUUbBjFCx5wFYoiQuTRmDFKbEwqj1z4MsEJ1jYf,186.81%,"$22,417.08","$129,311.62",56.67%,?,['photon'],782.4,https://gmgn.ai/sol/address/HetnuaUUbBjFCx5wFYoiQuTRmDFKbEwqj1z4MsEJ1jYf,18,0.0,0.0,5.0,26.0,12.0,1.0,6.0,1.0555555555555556,2.5,[]
6,CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,137.81%,"$218,295.04","$942,553.38",100.00%,?,['trojan'],3319.53,https://gmgn.ai/sol/address/CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,12,17.0,2.0,4.0,6.0,6.0,0.0,6.0,1.0,1.5,[]
7,FpM9FRxx6C4xGreq6B2dp3KH2c8YCSbJRVJomjDC5DL6,65.34%,"$20,148.15","$88,226.94",77.78%,?,['trojan'],69.54,https://gmgn.ai/sol/address/FpM9FRxx6C4xGreq6B2dp3KH2c8YCSbJRVJomjDC5DL6,12,0.0,0.0,30.0,11.0,7.0,1.0,1.0,0.75,1.6666666666666667,[]
8,EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe,17.76%,"$41,811.20","$463,561.68",33.33%,?,['kol'],123.77,https://gmgn.ai/sol/address/EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe,18,0.0,0.0,15.0,22.0,9.0,0.0,4.0,0.7222222222222222,1.9444444444444444,[]
9,HKTtUgFbXJu7CnHZWCQZvYsUMbdvhyvttwW6wCc161xx,60.81%,"$14,587.87","$262,449.20",67.09%,?,['photon'],121.84,https://gmgn.ai/sol/address/HKTtUgFbXJu7CnHZWCQZvYsUMbdvhyvttwW6wCc161xx,38,0.0,0.0,3.0,22.0,16.0,1.0,8.0,0.6578947368421053,1.236842105263158,[]
10,4NsvGgEEHmcbU1DA1CdsmvD2iXEaWZLN8nmmR4N6gjkG,60.43%,"$8,615.95","$39,308.94",90.00%,?,[],42.47,https://gmgn.ai/sol/address/4NsvGgEEHmcbU1DA1CdsmvD2iXEaWZLN8nmmR4N6gjkG,46,3.0,2.0,4.0,11.0,9.0,2.0,19.0,0.6521739130434783,0.8913043478260869,[]
11,72e6QM7gn9MH5u1YpgQbduexm4WAon1cnsSXPqKnLQec,53.67%,"$3,386.51","$206,449.33",47.83%,?,"['pump_smart', 'photon']",104.94,https://gmgn.ai/sol/address/72e6QM7gn9MH5u1YpgQbduexm4WAon1cnsSXPqKnLQec,29,0.0,0.0,9.0,23.0,13.0,0.0,5.0,0.6206896551724138,1.4137931034482758,[]
12,9UWZFoiCHeYRLmzmDJhdMrP7wgrTw7DMSpPiT2eHgJHe,52.06%,"$89,118.24","$720,195.80",66.67%,?,"['bullx', 'trojan', 'gmgn']",1740.59,https://gmgn.ai/sol/address/9UWZFoiCHeYRLmzmDJhdMrP7wgrTw7DMSpPiT2eHgJHe,31,0.0,0.0,14.0,17.0,10.0,1.0,8.0,0.6129032258064516,1.1612903225806452,[]
13,DeCgQaBCSpHUoX7ng3MGYiPxdcfgU5HyB38cabVwF57o,41.78%,"$7,020.93","$170,641.16",38.10%,?,['bullx'],218.71,https://gmgn.ai/sol/address/DeCgQaBCSpHUoX7ng3MGYiPxdcfgU5HyB38cabVwF57o,83,0.0,0.0,0.0,1.0,20.0,4.0,25.0,0.5903614457831325,0.6024096385542169,[]
14,DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,71.12%,"$252,989.14","$915,750.33",94.59%,?,"['trojan', 'bluechip_owner']",1893.91,https://gmgn.ai/sol/address/DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,46,0.0,0.0,13.0,10.0,12.0,3.0,12.0,0.5869565217391305,0.8043478260869565,[]
15,H7838f5FmHCtXFgtk5jDkcweEGWkvnuQJUeciGqfTt51,60.84%,"$69,184.16","$407,242.87",81.25%,?,[],63.39,https://gmgn.ai/sol/address/H7838f5FmHCtXFgtk5jDkcweEGWkvnuQJUeciGqfTt51,23,0.0,0.0,19.0,18.0,7.0,1.0,5.0,0.5652173913043478,1.3478260869565217,[]
16,E3ERHfizY8NMj94zV8Y1Qcfsur2vt3L8U3aEA5BFe2cd,161.13%,$519.14,"$1,365.58",96.15%,?,[],0.89,https://gmgn.ai/sol/address/E3ERHfizY8NMj94zV8Y1Qcfsur2vt3L8U3aEA5BFe2cd,91,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.5494505494505495,0.5494505494505495,[]
17,3g9nawbqSg5SvHEZctYoRPwnKY1TFTUpykXEsaJi9QE6,24.32%,"$11,901.87","$59,002.49",43.75%,?,['photon'],140.67,https://gmgn.ai/sol/address/3g9nawbqSg5SvHEZctYoRPwnKY1TFTUpykXEsaJi9QE6,31,0.0,0.0,0.0,34.0,11.0,3.0,2.0,0.5161290322580645,1.6129032258064515,[]
18,6T8Yr9DUUS2R8GHevaeaZcoxA1Jku51ZBkmcM7NaZiNE,33.27%,"$47,965.10","$245,636.68",51.35%,?,['photon'],600.45,https://gmgn.ai/sol/address/6T8Yr9DUUS2R8GHevaeaZcoxA1Jku51ZBkmcM7NaZiNE,49,0.0,0.0,4.0,20.0,21.0,2.0,2.0,0.5102040816326531,0.9183673469387755,[]
19,EwtV3vMC94rtQvH8bck5tVKHqKoYqybfo37FwMoboem6,143.44%,"$66,066.78","$174,489.86",85.71%,?,['photon'],697.45,https://gmgn.ai/sol/address/EwtV3vMC94rtQvH8bck5tVKHqKoYqybfo37FwMoboem6,62,0.0,0.0,3.0,15.0,20.0,3.0,8.0,0.5,0.7419354838709677,[]
20,HZs7uMB3CXUAcSo2u9uVRJcN9F1adLitSjwcGxAchNFu,81.80%,"$94,319.20","$177,449.21",61.54%,?,['photon'],508.3,https://gmgn.ai/sol/address/HZs7uMB3CXUAcSo2u9uVRJcN9F1adLitSjwcGxAchNFu,25,0.0,0.0,26.0,12.0,7.0,1.0,4.0,0.48,0.96,[]
21,8yb9RH2KjSV8v7qYAeidGQ66GD5yWjjmh26UDpBxE9oR,218.08%,"$43,604.68","$82,143.12",55.56%,?,[],9.75,https://gmgn.ai/sol/address/8yb9RH2KjSV8v7qYAeidGQ66GD5yWjjmh26UDpBxE9oR,11,19.0,20.0,15.0,15.0,2.0,0.0,3.0,0.45454545454545453,1.8181818181818181,[]
22,8VZec6dMJhsAh7iPkdUoDqPtge35yn22xibonAqAEhMZ,9.06%,$411.22,"$438,575.21",31.25%,?,[],127.24,https://gmgn.ai/sol/address/8VZec6dMJhsAh7iPkdUoDqPtge35yn22xibonAqAEhMZ,51,0.0,0.0,7.0,20.0,12.0,3.0,8.0,0.45098039215686275,0.8431372549019608,[]
23,71CvcuAphXjiDDdGYJe3iiBajgtm62H9F8bo1kNoLWPP,27.60%,"$1,617.96","$11,611.19",47.83%,?,"['gmgn', 'pepeboost']",125.61,https://gmgn.ai/sol/address/71CvcuAphXjiDDdGYJe3iiBajgtm62H9F8bo1kNoLWPP,29,0.0,0.0,11.0,26.0,11.0,0.0,2.0,0.4482758620689655,1.3448275862068966,[]
24,BvpqgSpMAB1KmasdsTij52KZdSCPy87QMXypDy2b4n2R,85.72%,"$129,571.48","$507,043.83",57.14%,?,[],4.58,https://gmgn.ai/sol/address/BvpqgSpMAB1KmasdsTij52KZdSCPy87QMXypDy2b4n2R,31,7.0,11.0,14.0,5.0,3.0,0.0,10.0,0.41935483870967744,0.5806451612903226,[]
25,27CvyoGen38pd8yWV5LzfBssXDkfMxxyFjc1XkerDhfQ,82.37%,"$6,769.58","$40,900.22",71.43%,?,['photon'],25.56,https://gmgn.ai/sol/address/27CvyoGen38pd8yWV5LzfBssXDkfMxxyFjc1XkerDhfQ,31,0.0,0.0,19.0,17.0,10.0,0.0,3.0,0.41935483870967744,0.967741935483871,[]
26,7cggFeKHrFW5KKhgMTQ1KHoVmAQVkznwhSyx49ukQcVq,43.66%,"$5,120.42","$4,034.52",75.00%,?,['gmgn'],13.63,https://gmgn.ai/sol/address/7cggFeKHrFW5KKhgMTQ1KHoVmAQVkznwhSyx49ukQcVq,65,0.0,0.0,2.0,21.0,12.0,2.0,13.0,0.4153846153846154,0.7384615384615385,[]
