Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +
HE9i4VffXVKimwwuz4HoKXRjJtxrcisYXWWBBoBoBoGa,10.20%,"$229,896.25","$229,896.25",42.74%,?,[],17.72,https://gmgn.ai/sol/address/HE9i4VffXVKimwwuz4HoKXRjJtxrcisYXWWBBoBoBoGa,3002,0,0,0,0,35,6,8
2CDXrnmjiDSm3fmrTeVu55heU8gZuobJRHiJKSKfgtrK,51.91%,"$-4,170.01","$105,190.08",100.00%,?,[],97.64,https://gmgn.ai/sol/address/2CDXrnmjiDSm3fmrTeVu55heU8gZuobJRHiJKSKfgtrK,16,3,6,7,3,0,0,0
2Xm9sojSZEVQuuzb2X5MqVEEwVSekxuDVSKDtmsyQ9gx,362.61%,"$17,174.23","$17,174.23",81.48%,?,"['photon', 'bullx']",12.97,https://gmgn.ai/sol/address/2Xm9sojSZEVQuuzb2X5MqVEEwVSekxuDVSKDtmsyQ9gx,43,0,3,6,4,1,0,4
7R3KWHxzCf1eevnqHh4YymyTf4WsVJRwVHjrTGiV5zq1,8.71%,"$116,588.83","$242,699.90",50.40%,?,['photon'],108.51,https://gmgn.ai/sol/address/7R3KWHxzCf1eevnqHh4YymyTf4WsVJRwVHjrTGiV5zq1,2318,6,150,115,21,4,0,1
13jJRGTmHk4FMcc3L1JNum1D4B15GicJG6FqfVTmSpST,11.23%,"$89,203.04","$377,718.74",55.80%,?,[],16.06,https://gmgn.ai/sol/address/13jJRGTmHk4FMcc3L1JNum1D4B15GicJG6FqfVTmSpST,1817,0,125,145,28,1,0,1
ESEXzqZqBpuNqfwrAEVkajiKfDYv98UR9DMPMEPkEWo4,20.68%,"$68,257.34","$262,846.85",44.07%,?,['photon'],94.95,https://gmgn.ai/sol/address/ESEXzqZqBpuNqfwrAEVkajiKfDYv98UR9DMPMEPkEWo4,589,45,118,83,42,10,0,2
suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,44.90%,"$803,920.15","$3,651,800.29",85.97%,?,['photon'],2236.58,https://gmgn.ai/sol/address/suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,1946,0,0,0,6,14,4,25
DdofLJ4SCBdHN3BzEwmxLRjDTScgJ9Pwyvp5PoSSpKC3,-2.97%,"$-4,501.44","$-4,501.44",22.77%,?,[],40.35,https://gmgn.ai/sol/address/DdofLJ4SCBdHN3BzEwmxLRjDTScgJ9Pwyvp5PoSSpKC3,205,0,3,2,0,0,0,0
9338T5K1rAnQMF9hkw8ny3e1JvdxmrujAgynRc7fjWe2,34.09%,"$83,433.24","$130,843.47",49.21%,?,['photon'],167.62,https://gmgn.ai/sol/address/9338T5K1rAnQMF9hkw8ny3e1JvdxmrujAgynRc7fjWe2,587,40,125,78,42,9,0,5
F3276pMR8vXYmMMvqoQntDaGuWt8KnzRfdgitVdmD4B5,-8.24%,"$-65,371.30","$2,393.32",38.32%,?,['photon'],22.52,https://gmgn.ai/sol/address/F3276pMR8vXYmMMvqoQntDaGuWt8KnzRfdgitVdmD4B5,596,45,138,76,29,11,0,0
8JEY7oCURot8WfoJcZWnkwcq4pUJgsKHFkjHYTVwVWAK,5.46%,"$54,833.37","$62,301.46",51.71%,?,['photon'],155.58,https://gmgn.ai/sol/address/8JEY7oCURot8WfoJcZWnkwcq4pUJgsKHFkjHYTVwVWAK,2714,30,129,107,31,2,0,1
9YHkYZGM4vthPkMe6mZe2sW4Gu91upZM2p2wK9YRTZgk,12.50%,"$77,720.88","$273,675.66",32.48%,?,"['photon', 'bluechip_owner']",36.98,https://gmgn.ai/sol/address/9YHkYZGM4vthPkMe6mZe2sW4Gu91upZM2p2wK9YRTZgk,236,17,124,35,28,4,0,4
FbBrdf3UrpaCJYwniui4hRqLMGV5tRage3Rd5cAfEdKL,9.55%,"$192,797.10","$192,797.10",44.00%,?,[],35.03,https://gmgn.ai/sol/address/FbBrdf3UrpaCJYwniui4hRqLMGV5tRage3Rd5cAfEdKL,4499,0,0,0,2,18,6,24
EQ3iykiT6Jg1ReuaaLc2bnxFXwxBkiXgZifYJxaULAEC,16.83%,"$136,034.46","$325,896.80",18.71%,?,[],34.92,https://gmgn.ai/sol/address/EQ3iykiT6Jg1ReuaaLc2bnxFXwxBkiXgZifYJxaULAEC,4935,0,0,0,0,1,3,46
DhtZrHkw85GCxvkzpSNWTisUf7xZViwdRk1Yoz7APv4R,11.64%,"$116,183.85","$489,290.93",41.20%,?,['photon'],22.34,https://gmgn.ai/sol/address/DhtZrHkw85GCxvkzpSNWTisUf7xZViwdRk1Yoz7APv4R,2190,14,166,92,23,4,1,0
6ryvxoTHMYkVUgTTexpqntYLfY4La582UGX7TSX4KRh7,6.56%,"$17,620.39","$26,590.19",56.08%,?,['bullx'],0.00,https://gmgn.ai/sol/address/6ryvxoTHMYkVUgTTexpqntYLfY4La582UGX7TSX4KRh7,723,24,118,122,31,2,1,1
5g7EzTcLm1cxHZJeaWgiaqQfge7s9fN21ZczdxkxxK44,19.97%,"$124,173.72","$182,478.49",50.47%,?,['photon'],30.00,https://gmgn.ai/sol/address/5g7EzTcLm1cxHZJeaWgiaqQfge7s9fN21ZczdxkxxK44,862,18,149,86,34,6,3,2
Fic3kRBNnAtYZoctyZ28pZKvsC5T2DVoishJHQwtDbBg,7.33%,"$159,589.90","$337,972.04",46.20%,?,[],28.90,https://gmgn.ai/sol/address/Fic3kRBNnAtYZoctyZ28pZKvsC5T2DVoishJHQwtDbBg,6758,5,153,114,22,3,3,0
B3HszkxJj4LCoeZkAWPFBQQEaPxDTCTc5f6HN9mmeXSD,32.20%,"$28,265.49","$127,215.88",35.96%,?,['photon'],11.42,https://gmgn.ai/sol/address/B3HszkxJj4LCoeZkAWPFBQQEaPxDTCTc5f6HN9mmeXSD,284,56,129,70,28,7,2,8
EhfGGmQJb5MJXg1FHPevGH8QCf9S6f3VVrTZSTpj2SAm,15.50%,"$-10,608.09","$61,033.78",35.96%,?,['photon'],157.00,https://gmgn.ai/sol/address/EhfGGmQJb5MJXg1FHPevGH8QCf9S6f3VVrTZSTpj2SAm,293,70,128,66,29,1,1,3
6T8Yr9DUUS2R8GHevaeaZcoxA1Jku51ZBkmcM7NaZiNE,33.27%,"$47,965.10","$245,636.68",51.35%,?,['photon'],600.45,https://gmgn.ai/sol/address/6T8Yr9DUUS2R8GHevaeaZcoxA1Jku51ZBkmcM7NaZiNE,49,0,0,4,20,21,2,2
6xX7LudE5AqnTUc8dJJfzuarkSc6WMw7qRHgQXUdWauJ,27.74%,"$190,142.88","$840,594.06",57.29%,?,[],59.02,https://gmgn.ai/sol/address/6xX7LudE5AqnTUc8dJJfzuarkSc6WMw7qRHgQXUdWauJ,1060,0,0,0,1,18,2,29
55UN9tJHvEL2vN8Gu3AS5TzBP3ZfN1yPESkT8d4wYCkr,59.24%,"$92,746.17","$574,388.62",27.83%,?,[],0.00,https://gmgn.ai/sol/address/55UN9tJHvEL2vN8Gu3AS5TzBP3ZfN1yPESkT8d4wYCkr,207,0,0,1,7,17,3,22
nya666pQkP3PzWxi7JngU3rRMHuc7zbLK8c8wxQ4qpT,13.90%,"$398,058.42","$1,045,012.56",50.70%,?,[],97.79,https://gmgn.ai/sol/address/nya666pQkP3PzWxi7JngU3rRMHuc7zbLK8c8wxQ4qpT,18865,0,0,0,0,0,0,50
J8HKwsQq6gLCqE4KKR1pdiiimShwoqQWzxPq8C632tDu,0.74%,"$1,380.04","$1,380.04",50.36%,?,['bullx'],0.00,https://gmgn.ai/sol/address/J8HKwsQq6gLCqE4KKR1pdiiimShwoqQWzxPq8C632tDu,366,9,78,87,9,0,0,0
Ks76ed5CMgMR9BbaWhambZixPKZURVxdtCQTgDeoH2F,22.70%,"$13,803.00","$63,162.73",47.18%,?,[],4.38,https://gmgn.ai/sol/address/Ks76ed5CMgMR9BbaWhambZixPKZURVxdtCQTgDeoH2F,458,0,0,0,7,29,5,9
